Cod.;Nome;Fornecedor;Valor Unit.;Prazo recarga;Prazo cartão novo;UF;Cidade;Data Tarifa
15734;Catedral - Cartão Taguatinga X Jardim Ingá;Catedral - Eletrônico;10,65;5;10;DF;Brasília;26/02/2026
15738;Catedral - Cartão Jardim Ingá X Lago Sul;Catedral - Eletrônico;9,30;5;10;DF;Brasília;26/02/2026
15432;Rota do Sol - Cartão Lago Azul X Brasília;Rota do Sol - Eletrônico;11,00;5;11;DF;Brasília;23/02/2026
10308;Taguatur Águas Lindas de Goiás - Cartão Brasília x Águas Lindas;Taguatur - Águas Lindas de Goiás;11,45;5;10;DF;Brasília;26/02/2026
10309;Taguatur Águas Lindas de Goiás - Cartão Águas Lindas X Taguatinga;Taguatur - Águas Lindas de Goiás;6,75;5;10;DF;Brasília;15/08/2023
10310;Taguatur Águas Lindas de Goiás - Cartão Águas Lindas X Ceilândia;Taguatur - Águas Lindas de Goiás;5,15;5;10;DF;Brasília;15/08/2023
10311;Taguatur Águas Lindas de Goiás - Cartão Girassol X Brasília;Taguatur - Águas Lindas de Goiás;10,95;5;10;DF;Brasília;26/09/2025
10312;Taguatur Águas Lindas de Goiás - Cartão Girassol X Taguatinga;Taguatur - Águas Lindas de Goiás;6,75;5;10;DF;Brasília;15/08/2023
10313;Taguatur Águas Lindas de Goiás - Cartão Lago Azul X Gama;Taguatur - Águas Lindas de Goiás;3,80;5;10;DF;Brasília;15/08/2023
10314;Taguatur Águas Lindas de Goiás - Cartão Novo Gama X Gama;Taguatur - Águas Lindas de Goiás;1,75;5;10;DF;Brasília;16/08/2023
10315;Taguatur Águas Lindas de Goiás - Cartão Pedregal X Gama;Taguatur - Águas Lindas de Goiás;3,65;5;10;DF;Brasília;16/08/2023
10316;Taguatur Águas Lindas de Goiás - Cartão Novo Gama X Brasília;Taguatur - Águas Lindas de Goiás;7,85;5;10;DF;Brasília;16/08/2023
10317;Taguatur Águas Lindas de Goiás - Cartão Lago Azul X Santa Maria;Taguatur - Águas Lindas de Goiás;3,80;5;10;DF;Brasília;15/08/2023
10318;Taguatur Águas Lindas de Goiás - Cartão Gama X Taguatinga;Taguatur - Águas Lindas de Goiás;7,85;5;10;DF;Brasília;16/08/2023
10319;Taguatur Santo Antonio do Descoberto - Cartão Santo Antônio X Brasília;Taguatur - Santo Antonio do Descoberto;10,75;5;10;DF;Brasília;26/02/2026
10320;Taguatur Santo Antonio do Descoberto - Cartão Santo Antonio X Taguatinga;Taguatur - Santo Antonio do Descoberto;8,60;5;10;DF;Brasília;26/02/2026
10321;Taguatur Santo Antonio do Descoberto - Cartão Brasília X Águas Claras;Taguatur - Santo Antonio do Descoberto;10,75;5;10;DF;Brasília;26/02/2026
5860;UTB - Eletrônico - Cartão Águas Lindas X Brasília;UTB - Eletrônico;11,45;5;10;DF;Brasília;26/02/2026
5975;UTB - Eletrônico - Cartão Monte Alto X Brasília;UTB - Eletrônico;10,40;5;10;DF;Brasília;26/02/2026
5976;UTB - Eletrônico - Cartão Monte Alto X Brazilândia;UTB - Eletrônico;3,00;5;10;DF;Brasília;26/02/2026
6637;UTB - Eletrônico - Cartão Valparaíso de Goiás X Brasília;UTB - Eletrônico;8,00;5;10;DF;Brasília;26/02/2026
7059;UTB - Eletrônico - Cartão Monte Alto X Taguatinga Norte;UTB - Eletrônico;9,60;5;10;DF;Brasília;26/02/2026
8202;UTB - Eletrônico - Cartão Cidade Ocidental X Brasília;UTB - Eletrônico;8,90;5;10;DF;Brasília;26/02/2026
8253;UTB - Eletrônico - Cartão Cidade Ocidental X Gama;UTB - Eletrônico;6,05;5;10;DF;Brasília;26/02/2026
8260;UTB - Eletrônico - Cartão Valparaíso X Gama;UTB - Eletrônico;5,15;5;10;DF;Brasília;26/02/2026
8269;UTB - Eletrônico - Cartão Céu Azul X Brasília;UTB - Eletrônico;7,30;5;10;DF;Brasília;26/02/2026
8296;UTB - Eletrônico - Cartão Cidade Ocidental X Taguatinga;UTB - Eletrônico;10,25;5;10;DF;Brasília;26/02/2026
8297;UTB - Eletrônico - Cartão Valparaíso X Taguatinga;UTB - Eletrônico;9,35;5;10;DF;Brasília;26/02/2026
8580;UTB - Eletrônico - Cartão Novo Gama X Brasília;UTB - Eletrônico;10,35;5;10;DF;Brasília;26/02/2026
8622;UTB - Eletrônico - Cartão Pedregal X Brasília;UTB - Eletrônico;10,35;5;10;DF;Brasília;27/02/2026
10049;UTB - Eletrônico - Cartão Cidade Ocidental X Brasília (Executivo);UTB - Eletrônico;18,00;5;10;DF;Brasília;26/02/2026
15431;UTB - Eletrônico - Cartão Cidade Ocidental X Brasília (Linha 8250);UTB - Eletrônico;8,20;5;10;DF;Brasília;27/02/2026
